,0,1
0,Q0050,0
1,Q0110,0
2,Q0250,0
3,YAL001C,0
4,YAL007C,0
5,YAL008W,0
6,YAL011W,0
7,YAL012W,1
8,YAL013W,0
9,YAL016W,0
10,YAL017W,0
11,YAL019W,0
12,YAL020C,0
13,YAL021C,0
14,YAL023C,0
15,YAL024C,0
16,YAL026C,0
17,YAL027W,0
18,YAL028W,0
19,YAL029C,0
20,YAL031C,0
21,YAL032C,1
22,YAL033W,1
23,YAL034C,0
24,YAL034W-A,1
25,YAL036C,0
26,YAL042W,0
27,YAL043C,1
28,YAL044C,0
29,YAL046C,0
30,YAL047C,0
31,YAL051W,0
32,YAL053W,0
33,YAL059W,0
34,YAL060W,0
35,YAL061W,0
36,YAL062W,0
37,YAL067C,0
38,YAR002C-A,0
39,YAR002W,0
40,YAR003W,0
41,YAR007C,1
42,YAR010C,0
43,YAR014C,0
44,YAR015W,0
45,YAR019C,1
46,YAR042W,0
47,YAR044W,0
48,YAR062W,0
49,YAR071W,0
50,YAR073W,0
51,YAR075W,0
52,YBL002W,0
53,YBL003C,1
54,YBL004W,1
55,YBL005W,0
56,YBL007C,0
57,YBL008W,0
58,YBL010C,0
59,YBL014C,1
60,YBL016W,0
61,YBL017C,0
62,YBL019W,0
63,YBL020W,1
64,YBL021C,0
65,YBL023C,1
66,YBL024W,0
67,YBL026W,1
68,YBL030C,1
69,YBL032W,0
70,YBL035C,1
71,YBL036C,0
72,YBL037W,0
73,YBL038W,0
74,YBL039C,0
75,YBL041W,1
76,YBL044W,0
77,YBL045C,0
78,YBL046W,0
79,YBL047C,0
80,YBL048W,0
81,YBL052C,0
82,YBL054W,0
83,YBL055C,0
84,YBL056W,0
85,YBL057C,0
86,YBL058W,0
87,YBL059W,0
88,YBL060W,0
89,YBL061C,0
90,YBL063W,0
91,YBL067C,0
92,YBL071C,0
93,YBL071W-A,0
94,YBL074C,1
95,YBL075C,0
96,YBL076C,1
97,YBL078C,0
98,YBL079W,0
99,YBL081W,0
100,YBL082C,0
101,YBL084C,1
102,YBL086C,0
103,YBL087C,0
104,YBL090W,0
105,YBL093C,0
106,YBL097W,1
107,YBL099W,0
108,YBL101C,0
109,YBL103C,0
110,YBL104C,0
111,YBL105C,1
112,YBL106C,0
113,YBL111C,0
114,YBR001C,0
115,YBR009C,1
116,YBR010W,0
117,YBR011C,1
118,YBR017C,0
119,YBR019C,0
120,YBR023C,0
121,YBR025C,0
122,YBR026C,0
123,YBR028C,0
124,YBR030W,0
125,YBR034C,0
126,YBR039W,0
127,YBR042C,0
128,YBR044C,0
129,YBR045C,0
130,YBR047W,0
131,YBR049C,1
132,YBR054W,0
133,YBR055C,1
